Topic,Title_en,Description_en,Title_no,Description_no,Title_da,Description_da
Overview,"Effortless AI-Powered Accounting","Handle invoicing, payroll, bookkeeping, and annual reporting in one AI-assisted platform built for growing Norwegian companies.","Enkelt AI-drevet regnskap","Lag faktura, kjør lønn, før bilag og lever årsoppgjør i ett system bygget for norske vekstselskaper.","Nem AI-drevet bogføring","Send faktura, kør løn, bogfør bilag og aflever årsregnskab i en AI-assisteret platform til vækstvirksomheder."
PartnerOffer,"Free When You Use Our Advisors","Get the full ReAI platform at no cost when you team up with our accounting partners, and keep support on speed dial.","Gratis med regnskapshjelp","Ta i bruk hele ReAI uten kostnad når du samarbeider med våre autoriserte regnskapsførere, og få hjelp når du trenger det.","Gratis med rådgiver","Få fuld adgang til ReAI uden ekstra omkostninger, når du arbejder sammen med vores registrerede revisorpartnere."
Invoicing,"Invoice Clients in Seconds","Create professional invoices with KID, PDF, and eInvoice formats, schedule reminders, and get paid faster.","Lag faktura gratis","Bygg proffe fakturaer med KID, PDF og EHF, send purringer automatisk og få raskere betalt.","Lav fakturaer gratis","Opsæt professionelle fakturaer med KID, PDF og e-faktura, send automatiske rykkere og få hurtigere betaling."
BankIntegration,"Connect Your Bank Instantly","Synchronize transactions in real time with major Norwegian banks and let ReAI reconcile accounts automatically.","Koble banken på sekunder","Synkroniser transaksjoner i sanntid med ledende norske banker, og la ReAI stemme kontoene automatisk.","Forbind banken på sekunder","Synkroniser transaktioner i realtid med de største nordiske banker, og lad ReAI afstemme konti automatisk."
BookkeepingAutomation,"Automate Bookkeeping with AI","Let machine learning tag expenses, suggest ledger accounts, and flag anomalies before they become errors.","Automatiser bokføringen med AI","La maskinlæring foreslå kontoer, tagge kostnader og varsle om avvik før de blir feil.","Automatiser bogføringen med AI","Lad maskinlæring foreslå konti, kategorisere udgifter og markere afvigelser før de bliver fejl."
Payroll,"Payroll Without the Headache","Run payroll with updated tax tables, send payslips digitally, and post salary journals in one click.","Lønn uten hodebry","Kjør lønn med oppdaterte satser, send lønnsslipper digitalt og postér lønnsbilag automatisk.","Løn uden besvær","Kør løn med aktuelle satser, udsend lønsedler digitalt og bogfør lønsposter automatisk."
ReceiptCapture,"Snap Receipts Anywhere","Upload receipts from mobile, email, or drag-and-drop, then let OCR capture the details for approval.","Ta bilag på farten","Last opp kvitteringer fra mobil, e-post eller drag-and-drop, og la OCR hente detaljer til godkjenning.","Tag bilag på farten","Upload kvitteringer fra mobil, mail eller drag-and-drop, og lad OCR fange detaljerne til godkendelse."
YearEnd,"Close the Books with Confidence","Produce year-end financial statements, VAT returns, and shareholder reports with guided checklists.","Lever årsoppgjør med trygghet","Lag årsregnskap, mva-meldinger og aksjonærrapporter med stegvise sjekklister.","Aflever årsregnskabet med ro","Udarbejd årsrapporter, momsindberetning og ejeropgørelser med trin-for-trin tjeklister."
Integrations,"Integrate the Tools You Already Use","Connect CRM, e-commerce, and payroll systems through ready-made APIs and webhooks.","Integrer verktøyene du allerede bruker","Koble CRM, netthandel og lønnssystemer med ferdige API-er og webhooks.","Integrer de værktøjer du allerede bruger","Forbind CRM, e-handel og lønsystemer med færdige API'er og webhooks."
Insights,"See Cashflow in Real Time","Track KPIs, liquidity forecasts, and overdue invoices on customizable dashboards built for founders.","Se kontantstrøm i sanntid","Følg nøkkeltall, likviditetsprognoser og forfalte fakturaer i tilpassede dashbord for gründere.","Få realtidsblik på cashflow","Følg nøgletal, likviditetsprognoser og forfaldne fakturaer i tilpassede dashboards."
